,no_words,no_useful_tokens,no_useless_tokens,noun %,verb %,adj %,pron %,adv %,prop %
Data/All_Tagged_Data/tagged_D20.txt,668,523,145,50.2868068833652,18.54684512428298,11.089866156787762,6.309751434034416,11.281070745697896,2.48565965583174
Data/All_Tagged_Data/tagged_D21.txt,519,454,65,41.18942731277533,23.348017621145374,10.79295154185022,6.828193832599119,11.894273127753303,5.947136563876652
Data/All_Tagged_Data/tagged_D23.txt,335,320,15,35.3125,24.0625,16.25,2.8125,14.6875,6.875000000000001
Data/All_Tagged_Data/tagged_ND19.txt,2560,2318,242,45.68593615185505,18.593615185504746,9.361518550474548,3.192407247627265,11.432269197584125,11.73425366695427
Data/All_Tagged_Data/tagged_ND18.txt,2643,2442,201,44.799344799344794,22.85012285012285,9.254709254709255,6.388206388206388,10.85176085176085,5.8558558558558556
Data/All_Tagged_Data/tagged_D22.txt,1372,1320,52,50.07575757575757,21.818181818181817,11.43939393939394,2.803030303030303,7.954545454545454,5.909090909090909
Data/All_Tagged_Data/tagged_ND20.txt,1996,1924,72,46.41372141372141,23.44074844074844,9.355509355509357,4.261954261954262,11.902286902286903,4.625779625779626
Data/All_Tagged_Data/tagged_ND21.txt,1715,1580,135,42.151898734177216,24.556962025316455,12.468354430379748,4.746835443037975,10.949367088607595,5.126582278481013
Data/All_Tagged_Data/tagged_D19.txt,1305,1221,84,37.51023751023751,23.587223587223587,10.974610974610975,6.47010647010647,16.38001638001638,5.077805077805078
Data/All_Tagged_Data/tagged_ND9.txt,2392,2287,105,43.72540445999126,20.725841714035855,12.811543506777436,4.984696108439003,13.686051595977263,4.066462614779186
Data/All_Tagged_Data/tagged_ND8.txt,5697,5337,360,45.362563237774026,23.08412966085816,11.373430766348136,4.1596402473299605,12.329023796140154,3.6912122915495593
Data/All_Tagged_Data/tagged_D18.txt,7375,6716,659,45.86063132817153,25.357355568790947,11.673615247170934,4.854079809410363,10.4526503871352,1.8016676593210244
Data/All_Tagged_Data/tagged_D1.txt,200,190,10,47.89473684210526,26.31578947368421,11.578947368421053,3.1578947368421053,8.947368421052632,2.1052631578947367
Data/All_Tagged_Data/tagged_D3.txt,203,187,16,57.21925133689839,22.994652406417114,10.16042780748663,3.2085561497326207,4.27807486631016,2.13903743315508
Data/All_Tagged_Data/tagged_D2.txt,148,141,7,44.680851063829785,21.27659574468085,10.638297872340425,4.25531914893617,17.02127659574468,2.127659574468085
Data/All_Tagged_Data/tagged_D6.txt,560,499,61,45.69138276553106,20.04008016032064,10.62124248496994,4.208416833667335,11.22244488977956,8.216432865731463
Data/All_Tagged_Data/tagged_D7.txt,199,183,16,33.87978142076503,27.86885245901639,13.114754098360656,6.557377049180328,15.846994535519126,2.73224043715847
Data/All_Tagged_Data/tagged_D5.txt,1903,1776,127,44.763513513513516,24.436936936936938,12.894144144144143,4.391891891891892,11.824324324324325,1.6891891891891893
Data/All_Tagged_Data/tagged_D4.txt,314,295,19,44.06779661016949,23.050847457627118,14.915254237288137,5.762711864406779,11.864406779661017,0.3389830508474576
Data/All_Tagged_Data/tagged_D9.txt,1300,1250,50,48.96,22.48,13.36,1.76,12.479999999999999,0.96
Data/All_Tagged_Data/tagged_D8.txt,1661,1581,80,47.691334598355475,24.161922833649587,10.120177103099303,4.617330803289057,11.132194813409235,2.2770398481973433
Data/All_Tagged_Data/tagged_D15.txt,1136,1066,70,46.810506566604126,23.639774859287055,10.787992495309568,4.409005628517824,13.320825515947469,1.0318949343339587
Data/All_Tagged_Data/tagged_ND13.txt,907,868,39,45.046082949308754,21.774193548387096,9.7926267281106,4.953917050691245,13.594470046082948,4.838709677419355
Data/All_Tagged_Data/tagged_ND5.txt,3658,3310,348,42.35649546827794,24.531722054380666,12.326283987915408,4.410876132930514,14.380664652567976,1.9939577039274923
Data/All_Tagged_Data/tagged_ND4.txt,1032,1006,26,42.94234592445328,27.037773359840955,11.72962226640159,4.572564612326044,11.530815109343937,2.1868787276341948
Data/All_Tagged_Data/tagged_ND12.txt,2285,2174,111,43.92824287028519,23.229070837166514,11.775528978840846,5.105795768169273,12.741490340386385,3.219871205151794
Data/All_Tagged_Data/tagged_D14.txt,1002,935,67,41.49732620320856,27.807486631016044,10.16042780748663,3.6363636363636362,13.689839572192513,3.2085561497326207
Data/All_Tagged_Data/tagged_D16.txt,284,274,10,49.63503649635037,21.532846715328464,9.854014598540147,6.204379562043796,11.313868613138686,1.4598540145985401
Data/All_Tagged_Data/tagged_ND10.txt,3482,3191,291,42.93324976496396,22.062049514258852,9.777499216546538,3.729238483234096,15.73174553431526,5.766217486681291
Data/All_Tagged_Data/tagged_ND6.txt,3034,2602,432,42.54419677171406,27.940046118370482,7.571099154496541,5.649500384319754,9.723289777094543,6.5718677940046115
Data/All_Tagged_Data/tagged_ND7.txt,1844,1724,120,39.96519721577726,23.37587006960557,11.020881670533642,4.408352668213457,13.051044083526683,8.178654292343387
Data/All_Tagged_Data/tagged_ND11.txt,1360,1268,92,45.268138801261834,19.873817034700316,13.722397476340694,4.968454258675079,13.722397476340694,2.444794952681388
Data/All_Tagged_Data/tagged_D17.txt,469,436,33,47.018348623853214,21.100917431192663,14.449541284403669,4.81651376146789,11.009174311926607,1.6055045871559634
Data/All_Tagged_Data/tagged_D13.txt,432,405,27,44.93827160493827,26.172839506172842,9.62962962962963,3.2098765432098766,10.123456790123457,5.9259259259259265
Data/All_Tagged_Data/tagged_ND15.txt,2495,2069,426,45.04591590140164,23.247945867568873,6.621556307394877,5.074915418076365,14.01643305944901,5.993233446109231
Data/All_Tagged_Data/tagged_ND3.txt,1606,1474,132,41.85888738127544,23.67706919945726,9.972862957937584,5.088195386702849,14.382632293080055,5.020352781546811
Data/All_Tagged_Data/tagged_ND2.txt,2355,2197,158,36.77742375967228,25.443786982248522,12.42603550295858,5.143377332726446,17.159763313609467,3.0496131087847065
Data/All_Tagged_Data/tagged_ND14.txt,2344,2183,161,40.31149793861658,25.194686211635364,10.719193770041228,4.031149793861658,17.865322950068713,1.8781493357764543
Data/All_Tagged_Data/tagged_D12.txt,293,278,15,46.76258992805755,28.05755395683453,5.755395683453238,3.597122302158273,10.071942446043165,5.755395683453238
Data/All_Tagged_Data/tagged_D10.txt,287,242,45,49.586776859504134,16.115702479338843,8.677685950413224,4.545454545454546,8.264462809917356,12.8099173553719
Data/All_Tagged_Data/tagged_ND16.txt,306,259,47,54.054054054054056,16.988416988416986,10.424710424710424,1.5444015444015444,10.81081081081081,6.177606177606178
Data/All_Tagged_Data/tagged_ND1.txt,2283,2119,164,37.18735252477583,26.097215667767813,13.260972156677678,4.6720151014629545,15.478999528079282,3.303445021236432
Data/All_Tagged_Data/tagged_ND17.txt,3065,2871,194,39.32427725531174,21.03796586555207,14.942528735632186,3.239289446185998,13.200975269940788,8.254963427377222
Data/All_Tagged_Data/tagged_D11.txt,594,493,101,52.94117647058824,22.31237322515213,5.88235294117647,4.665314401622718,9.330628803245435,4.86815415821501
