Unnamed: 0,Unique words in doc
ND0,417
ND1,408
ND2,488
ND3,410
ND4,235
ND5,646
ND6,390
ND7,271
ND8, 626
ND9,379
ND10,556
ND11,455
ND12,434
ND13,255
ND14,317
ND15,437
ND16,169
ND17,517
ND18,291
ND19,565
ND20,370
ND21,421
D0,302
D1,95
D2,82
D3,120
D4,169
D5,507
D6,157
D7,100
D8,262
D9,331
D10,100
D11,231
D12,134
D13,180
D14,304
D15,417
D16,100
D17,199
D18,934
D19,238
D20,154
D21,190
D22,324
D23,165
